Ensembl.ID,Gene.name
ENSG00000000003.15_4,TSPAN6
ENSG00000000005.6_3,TNMD
ENSG00000000419.12_5,DPM1
ENSG00000000457.14_6,SCYL3
ENSG00000000460.17_6,C1orf112
ENSG00000000938.13_5,FGR
ENSG00000000971.16_3,CFH
ENSG00000001036.14_4,FUCA2
ENSG00000001084.13_9,GCLC
ENSG00000001167.14_3,NFYA
ENSG00000001460.18_6,STPG1
ENSG00000001461.17_3,NIPAL3
ENSG00000001497.16_3,LAS1L
ENSG00000001561.7_3,ENPP4
ENSG00000001617.12_5,SEMA3F
ENSG00000001626.16_8,CFTR
ENSG00000001629.10_4,ANKIB1
ENSG00000001630.17_8,CYP51A1
ENSG00000001631.15_8,KRIT1
ENSG00000002016.18_6,RAD52
ENSG00000002079.14_3,MYH16
ENSG00000002330.13_8,BAD
ENSG00000002549.12_3,LAP3
ENSG00000002586.20_6,CD99
ENSG00000002586.20_6_PAR_Y,CD99
ENSG00000002587.10_6,HS3ST1
ENSG00000002726.20_6,AOC1
ENSG00000002745.13_4,WNT16
ENSG00000002746.15_4,HECW1
ENSG00000002822.15_6,MAD1L1
ENSG00000002834.18_4,LASP1
ENSG00000002919.14_2,SNX11
ENSG00000002933.9_7,TMEM176A
ENSG00000003056.3,M6PR
ENSG00000003096.14_5,KLHL13
ENSG00000003137.8_6,CYP26B1
ENSG00000003147.19_7,ICA1
ENSG00000003249.14_3,DBNDD1
ENSG00000003393.15_7,ALS2
ENSG00000003400.15_5,CASP10
ENSG00000003402.20_4,CFLAR
ENSG00000003436.16_6,TFPI
ENSG00000003509.16_4,NDUFAF7
ENSG00000003756.17_7,RBM5
ENSG00000003987.14_4,MTMR7
ENSG00000003989.17_6,SLC7A2
ENSG00000004059.11_5,ARF5
ENSG00000004139.14_5,SARM1
ENSG00000004142.12_4,POLDIP2
ENSG00000004399.12_6,PLXND1
ENSG00000004455.17_4,AK2
ENSG00000004468.13_5,CD38
ENSG00000004478.8_3,FKBP4
ENSG00000004487.16_5,KDM1A
ENSG00000004534.15_4,RBM6
ENSG00000004660.15_5,CAMKK1
ENSG00000004700.16_7,RECQL
ENSG00000004766.17_4,VPS50
ENSG00000004776.13_4,HSPB6
ENSG00000004777.18_3,ARHGAP33
ENSG00000004779.10_4,NDUFAB1
ENSG00000004799.8_4,PDK4
ENSG00000004809.14_6,SLC22A16
ENSG00000004838.14_5,ZMYND10
ENSG00000004846.16_4,ABCB5
ENSG00000004848.8_6,ARX
ENSG00000004864.13_3,SLC25A13
ENSG00000004866.20_6,ST7
ENSG00000004897.12_6,CDC27
ENSG00000004939.15_5,SLC4A1
ENSG00000004948.15_6,CALCR
ENSG00000004961.15_3,HCCS
ENSG00000004975.12_5,DVL2
ENSG00000005001.10_4,PRSS22
ENSG00000005007.12_3,UPF1
ENSG00000005020.13_6,SKAP2
ENSG00000005022.6_3,SLC25A5
ENSG00000005059.16_6,MCUB
ENSG00000005073.6_3,HOXA11
ENSG00000005075.15_3,POLR2J
ENSG00000005100.13_7,DHX33
ENSG00000005102.14_4,MEOX1
ENSG00000005108.16_6,THSD7A
ENSG00000005156.12_8,LIG3
ENSG00000005175.10_5,RPAP3
ENSG00000005187.12_4,ACSM3
ENSG00000005189.19_5,REXO5
ENSG00000005194.15_6,CIAPIN1
ENSG00000005206.17_4,SPPL2B
ENSG00000005238.19_3,FAM214B
ENSG00000005243.10_5,COPZ2
ENSG00000005249.13_3,PRKAR2B
ENSG00000005302.19_6,MSL3
ENSG00000005339.15_8,CREBBP
ENSG00000005379.17_7,TSPOAP1
ENSG00000005381.8_4,MPO
ENSG00000005421.9_4,PON1
ENSG00000005436.14_7,GCFC2
ENSG00000005448.17_5,WDR54
ENSG00000005469.11_2,CROT
ENSG00000005471.17_8,ABCB4
ENSG00000005483.21_7,KMT2E
ENSG00000005486.17_3,RHBDD2
ENSG00000005513.10_3,SOX8
ENSG00000005700.15_6,IBTK
ENSG00000005801.18_7,ZNF195
ENSG00000005810.18_4,MYCBP2
ENSG00000005812.11_7,FBXL3
ENSG00000005844.18_6,ITGAL
ENSG00000005882.12_6,PDK2
ENSG00000005884.18_3,ITGA3
ENSG00000005889.15_3,ZFX
ENSG00000005893.16_4,LAMP2
ENSG00000005961.19_6,ITGA2B
ENSG00000005981.13_3,ASB4
ENSG00000006007.12_4,GDE1
ENSG00000006015.17_5,REX1BD
ENSG00000006016.11_5,CRLF1
ENSG00000006025.12_6,OSBPL7
ENSG00000006042.12_5,TMEM98
ENSG00000006047.13_4,YBX2
ENSG00000006059.4_4,KRT33A
ENSG00000006062.17_6,MAP3K14
ENSG00000006071.14_7,ABCC8
ENSG00000006116.3_2,CACNG3
